class	word	bases	sequence	linearity	semantic relation
blend	adhocrat	adhoc aristocrat	AAAAXBBB	linear	time
blend	ambidancetrous	ambidextrous dance	AAAAXBBBBAAAAA	nonlinear	attribute
blend	analingus	anal cunnilingus	AAAXBBBBB	linear	loc_part_whole
blend	aquamation	aqua cremation	AAAABBBBBB	linear	causal
blend	artveillance	art surveillance	AAABBBBBBBBB	linear	purpose
blend	athcouture	athletic couture	AAABBBBBBB	linear	purpose
blend	automatovelociraptor	automatic velociraptor	AAAAAAAOBBBBBBBBBBBB	linear	attribute
blend	babymooners	baby honeymooners	AAAXBBBBBBB	linear	purpose
blend	barricage	barricade cage	AAAAAXBBB	linear	attribute
blend	bigature	big miniature	AAABBBBB	linear	attribute
blend	bildogsromans	bildungsroman dog	AAAXBXAAAAAAS	nonlinear	topical
blend	birkini	birqa bikini	XXABBBB	nonlinear	attribute
blend	bizcations	biz vacation	AAABBBBBBS	linear	purpose
blend	bizliner	biz cruiseliner	AAABBBBB	linear	purpose
blend	bitmojis	bit emoji	AAABBBBS	linear	containment
blend	blaspy	black wasp	AAXBBS	linear	attribute
blend	blurrealist	blur surreal	AAXXBBBBSSS	linear	attribute
blend	bookstagrammer	book instagram	AAAABBBBBBBOSS	linear	topical
blend	bordoodle	border_collie poodle	AAAABBBBB	linear	attribute
blend	breastaurants	breast restaurant	AXXAXXBBBBBBS	nonlinear	containment
blend	bridesmates	bridesmaid mate	AAAAAAXXBBS	linear	purpose
blend	brocialist	bro socialist	AAXBBBBBBB	linear	attribute
blend	broketose	broke lactose	AAAAABBBB	linear	attribute
blend	bromosexuality	bro homosexual	AAXBBBBBBBBSSS	linear	attribute
blend	brosephs	bro joseph	AAXBBBBS	linear	attribute
blend	brotelier	bro hotelier	AAXBBBBBB	linear	attribute
blend	bullversary	bull anniversary	AAAABBBBBBB	linear	topical
blend	cancerchondria	cancer hypochondria	AAAAAABBBBBBBB	linear	topical
