class	word	bases	sequence	linearity	semantic relation	unilm_segmentation_raw	unilm_segmentation_bpe	segmentation_str
blend	adhocrat	adhoc aristocrat	AAAAXBBB	linear	time	['▁a', 'd', 'ho', 'cra', 't']	['a', '##d', '##ho', '##cra', '##t']	a ##d ##ho ##cra ##t
blend	ambidancetrous	ambidextrous dance	AAAAXBBBBAAAAA	nonlinear	attribute	['▁am', 'bi', 'dance', 't', 'rous']	['am', '##bi', '##dance', '##t', '##rous']	am ##bi ##dance ##t ##rous
blend	analingus	anal cunnilingus	AAAXBBBBB	linear	loc_part_whole	['▁an', 'al', 'ing', 'us']	['an', '##al', '##ing', '##us']	an ##al ##ing ##us
blend	aquamation	aqua cremation	AAAABBBBBB	linear	causal	['▁a', 'qua', 'm', 'ation']	['a', '##qua', '##m', '##ation']	a ##qua ##m ##ation
blend	artveillance	art surveillance	AAABBBBBBBBB	linear	purpose	['▁art', 've', 'il', 'lance']	['art', '##ve', '##il', '##lance']	art ##ve ##il ##lance
blend	athcouture	athletic couture	AAABBBBBBB	linear	purpose	['▁a', 'th', 'c', 'out', 'ure']	['a', '##th', '##c', '##out', '##ure']	a ##th ##c ##out ##ure
blend	automatovelociraptor	automatic velociraptor	AAAAAAAOBBBBBBBBBBBB	linear	attribute	['▁auto', 'm', 'ato', 've', 'loc', 'ira', 'p', 'tor']	['auto', '##m', '##ato', '##ve', '##loc', '##ira', '##p', '##tor']	auto ##m ##ato ##ve ##loc ##ira ##p ##tor
blend	babymooners	baby honeymooners	AAAXBBBBBBB	linear	purpose	['▁baby', 'm', 'oon', 'ers']	['baby', '##m', '##oon', '##ers']	baby ##m ##oon ##ers
blend	barricage	barricade cage	AAAAAXBBB	linear	attribute	['▁barr', 'ic', 'age']	['barr', '##ic', '##age']	barr ##ic ##age
blend	bigature	big miniature	AAABBBBB	linear	attribute	['▁big', 'ature']	['big', '##ature']	big ##ature
blend	bildogsromans	bildungsroman dog	AAAXBXAAAAAAS	nonlinear	topical	['▁', 'bil', 'dog', 's', 'ro', 'man', 's']	['', '##bil', '##dog', '##s', '##ro', '##man', '##s']	 ##bil ##dog ##s ##ro ##man ##s
blend	birkini	birqa bikini	XXABBBB	nonlinear	attribute	['▁bi', 'rk', 'ini']	['bi', '##rk', '##ini']	bi ##rk ##ini
blend	bizcations	biz vacation	AAABBBBBBS	linear	purpose	['▁', 'biz', 'cation', 's']	['', '##biz', '##cation', '##s']	 ##biz ##cation ##s
blend	bizliner	biz cruiseliner	AAABBBBB	linear	purpose	['▁', 'biz', 'liner']	['', '##biz', '##liner']	 ##biz ##liner
blend	bitmojis	bit emoji	AAABBBBS	linear	containment	['▁bit', 'mo', 'ji', 's']	['bit', '##mo', '##ji', '##s']	bit ##mo ##ji ##s
blend	blaspy	black wasp	AAXBBS	linear	attribute	['▁b', 'las', 'p', 'y']	['b', '##las', '##p', '##y']	b ##las ##p ##y
blend	blurrealist	blur surreal	AAXXBBBBSSS	linear	attribute	['▁blur', 're', 'al', 'ist']	['blur', '##re', '##al', '##ist']	blur ##re ##al ##ist
blend	bookstagrammer	book instagram	AAAABBBBBBBOSS	linear	topical	['▁books', 'ta', 'gram', 'mer']	['books', '##ta', '##gram', '##mer']	books ##ta ##gram ##mer
blend	bordoodle	border_collie poodle	AAAABBBBB	linear	attribute	['▁', 'bor', 'd', 'ood', 'le']	['', '##bor', '##d', '##ood', '##le']	 ##bor ##d ##ood ##le
blend	breastaurants	breast restaurant	AXXAXXBBBBBBS	nonlinear	containment	['▁breast', 'au', 'rant', 's']	['breast', '##au', '##rant', '##s']	breast ##au ##rant ##s
blend	bridesmates	bridesmaid mate	AAAAAAXXBBS	linear	purpose	['▁bride', 's', 'mates']	['bride', '##s', '##mates']	bride ##s ##mates
blend	brocialist	bro socialist	AAXBBBBBBB	linear	attribute	['▁', 'bro', 'cial', 'ist']	['', '##bro', '##cial', '##ist']	 ##bro ##cial ##ist
blend	broketose	broke lactose	AAAAABBBB	linear	attribute	['▁broke', 't', 'ose']	['broke', '##t', '##ose']	broke ##t ##ose
blend	bromosexuality	bro homosexual	AAXBBBBBBBBSSS	linear	attribute	['▁', 'bro', 'mo', 'sexual', 'ity']	['', '##bro', '##mo', '##sexual', '##ity']	 ##bro ##mo ##sexual ##ity
blend	brosephs	bro joseph	AAXBBBBS	linear	attribute	['▁', 'bro', 's', 'eph', 's']	['', '##bro', '##s', '##eph', '##s']	 ##bro ##s ##eph ##s
blend	brotelier	bro hotelier	AAXBBBBBB	linear	attribute	['▁', 'bro', 'tel', 'ier']	['', '##bro', '##tel', '##ier']	 ##bro ##tel ##ier
blend	bullversary	bull anniversary	AAAABBBBBBB	linear	topical	['▁bull', 'ver', 's', 'ary']	['bull', '##ver', '##s', '##ary']	bull ##ver ##s ##ary
blend	cancerchondria	cancer hypochondria	AAAAAABBBBBBBB	linear	topical	['▁cancer', 'chon', 'd', 'ria']	['cancer', '##chon', '##d', '##ria']	cancer ##chon ##d ##ria
blend	chesticle	chest testicle	AAXXXBBBB	linear	loc_part_whole	['▁chest', 'ic', 'le']	['chest', '##ic', '##le']	chest ##ic ##le
blend	chicksplains	chick explain	AAAAAOBBBBBS	linear	causal	['▁chick', 's', 'p', 'lain', 's']	['chick', '##s', '##p', '##lain', '##s']	chick ##s ##p ##lain ##s
blend	chimpanzombies	chimpanzee zombies	AAAAAAAXBBBBBB	linear	attribute	['▁', 'chi', 'm', 'p', 'an', 'zo', 'mb', 'ies']	['', '##chi', '##m', '##p', '##an', '##zo', '##mb', '##ies']	 ##chi ##m ##p ##an ##zo ##mb ##ies
blend	chipster	chicano hipster	AXXBBBBB	linear	attribute	['▁chips', 'ter']	['chips', '##ter']	chips ##ter
blend	churchagogues	church synagogues	AAAAAABBBBBBB	linear	attribute	['▁church', 'ago', 'gue', 's']	['church', '##ago', '##gue', '##s']	church ##ago ##gue ##s
blend	cinnabark	cinnamon bark	AAAAABBBB	linear	attribute	['▁', 'cin', 'na', 'bar', 'k']	['', '##cin', '##na', '##bar', '##k']	 ##cin ##na ##bar ##k
blend	clairsentient	clairvoyant sentient	AAAAABBBBBBXX	nonlinear	causal	['▁', 'cla', 'ir', 's', 'ent', 'ient']	['', '##cla', '##ir', '##s', '##ent', '##ient']	 ##cla ##ir ##s ##ent ##ient
blend	cliteracy	clit literacy	AXXXBBBBB	linear	topical	['▁', 'cl', 'iteracy']	['', '##cl', '##iteracy']	 ##cl ##iteracy
blend	craftivists	craft activist	AAXAXBBBBBS	nonlinear	causal	['▁craft', 'iv', 'ists']	['craft', '##iv', '##ists']	craft ##iv ##ists
